"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42270529064396,0.0604742285571376,-40.0617808353674,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20192028290289,0.0725732455039781,44.1198441749084,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.313727922099,0.0580718407176302,-39.8425104750738,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05961912923206,0.0544075960807495,-37.8553598687812,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.88801158222533,0.0435908093701449,-43.3121478932304,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000164251",2348.7701339719,3.34449791556705,0.0692499342253264,48.2960446530487,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39227657521615,0.061936352670045,38.6247570624732,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225435342995,0.0395869423259228,46.284311082802,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404146258697,0.0426108963533249,-43.2762889401899,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26606307333471,0.0555781395855083,40.7725607628214,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252922588403,0.0558738059389476,40.4935584369581,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19604832174148,0.0758902975754811,-42.1140570513993,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976808452848,0.05465512276417,38.0525736535698,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.9383947818086,0.0510153166821434,-37.9963294922969,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03734123835564,0.0468986315361187,43.4413792391062,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054545155413,0.0440847993015678,44.2453063744529,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52370950618483,0.0654996783691311,38.5301053229936,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.85825737419749,0.086456280620418,44.6266869972926,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40667237915552,0.0584011908853531,-41.2093031438355,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418069149066,0.0696915026892261,-41.9589272530167,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14233770186713,0.0410229285941135,-52.2229342293845,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53450497675537,0.067241112526009,37.692787664318,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000136068",3796.1265394147,-1.64978461610214,0.0443093351935188,-37.2333416625817,1.97131624653804e-303,1.22427309850215e-300,"FLNB","2317","filamin B"
"ENSG00000181104",14922.5173336984,1.66815992275771,0.0453756820719594,36.7633024251237,7.12745985432534e-296,4.2420265232993e-293,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000157680",1359.06349386339,2.54494318293267,0.0693034888793598,36.7217181138281,3.28843545890709e-295,1.87888048380116e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074800",18390.4756149844,-1.33892538397373,0.0365517155765891,-36.6309860659809,9.18909578702234e-294,5.04834785468566e-291,"ENO1","2023","enolase 1"
"ENSG00000104081",804.838487338128,4.43412911198646,0.121375835416373,36.5322232121032,3.41591982564118e-292,1.80714810331328e-289,"BMF","90427","Bcl2 modifying factor"
"ENSG00000115963",13232.3301349766,1.80532149792252,0.0494573501273466,36.5025925019039,1.00874667332639e-291,5.14604910064078e-289,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02764172787373,0.0556418480002143,36.4409486878639,9.57021177717048e-291,4.71382431121045e-288,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000074416",2392.80973934457,-2.14807255007804,0.0591202340037273,-36.3339656257553,4.70799639367127e-289,2.24163401624001e-286,"MGLL","11343","monoglyceride lipase"
"ENSG00000165434",1243.14971044106,2.51722683523096,0.0693002120990308,36.3235083845604,6.88570968875099e-289,3.17275732884255e-286,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000101825",1024.97040543336,3.28769075883367,0.0907682336042671,36.2207198298845,2.87331303173413e-287,1.28257510454032e-284,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000117724",1324.17284690485,-2.82510280376388,0.0780794224258441,-36.1824244594921,1.15060682905206e-286,4.98038422611503e-284,"CENPF","1063","centromere protein F"
"ENSG00000166073",2268.80918089117,-2.20667132439474,0.0610376989473253,-36.1525968778586,3.38685684867478e-286,1.42287833019031e-283,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000091527",2814.15907315816,-1.81024636901452,0.050254860285934,-36.0213193055319,3.87975739050406e-284,1.58338441617029e-281,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501453124151,0.0538408530782376,35.9395221399945,7.37837808423659e-283,2.92757645986765e-280,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000198959",5110.85796803933,-1.74622079384122,0.0492660199758516,-35.444730357702,3.49692905860148e-275,1.35000363981253e-272,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.9221058483,2.31778469159278,0.0655753128688972,35.3453851791247,1.18039084945626e-273,4.4370270772719e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000143799",1043.84682510942,-2.61746956612929,0.0741759030630594,-35.2873299554452,9.18696734808812e-273,3.36478568205361e-270,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000110002",899.504360793506,4.43908601083779,0.126084271057599,35.2072940867452,1.54640362416727e-271,5.52220734190133e-269,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000196549",1520.30148791169,2.83743506105876,0.0806604646585776,35.1775194089093,4.41328477453367e-271,1.53754535901071e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000073712",2356.74691021857,-2.30514438393886,0.0656357846953156,-35.1202380628106,3.31029167359446e-270,1.12581443489579e-267,"FERMT2","10979","FERM domain containing kindlin 2"
"ENSG00000088325",1049.74978195443,-3.01205178432711,0.085911816011825,-35.0598081166452,2.76394435192152e-269,9.18143747042952e-267,"TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401890965297,0.0690617722569725,-34.9544882901446,1.10676240089872e-267,3.59295321237212e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786551090917,0.0676332874522302,34.862500400776,2.75286841852179e-266,8.73821610892562e-264,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73280673603215,0.0501681367140197,34.5399859259256,2.01506188236592e-261,6.25720520167714e-259,"SVIL","6840","supervillin"
"ENSG00000198901",744.768135087352,-3.17651345309416,0.0924980682841858,-34.3414031451427,1.8926534543398e-258,5.75205573229569e-256,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000182752",6930.41939676306,2.01482504528965,0.0593923905852901,33.9239593731502,2.95398090703422e-252,8.79055484918267e-250,"PAPPA","5069","pappalysin 1"
"ENSG00000277443",2830.20102519863,-1.92970101861746,0.0572203391722712,-33.724040201995,2.56860961126899e-249,7.48775911987067e-247,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
